export_version,figure,panel,panel_title,plot_order,point_index,group,metric,rho,clip_cap,clip_cap_label,x,y,value,count,style_key,label
tikz-v2,weight_clipping_frontier,B,adaptation,4,1,adaptation,clipped_target_tv,0.5,1.5,c=1.5,0.1760912590556812,0.0561963104501127,0.0561963104501127,500,tv,"TV(Q, Q_c)"
tikz-v2,weight_clipping_frontier,B,adaptation,4,2,adaptation,clipped_target_tv,0.5,2.0,c=2,0.3010299956639812,0.0235520529818627,0.0235520529818627,500,tv,"TV(Q, Q_c)"
tikz-v2,weight_clipping_frontier,B,adaptation,4,3,adaptation,clipped_target_tv,0.5,3.0,c=3,0.4771212547196624,0.0040705777963615,0.0040705777963615,500,tv,"TV(Q, Q_c)"
tikz-v2,weight_clipping_frontier,B,adaptation,4,4,adaptation,clipped_target_tv,0.5,5.0,c=5,0.6989700043360189,0.0001876090404185,0.0001876090404185,500,tv,"TV(Q, Q_c)"
tikz-v2,weight_clipping_frontier,B,adaptation,4,5,adaptation,clipped_target_tv,0.5,8.0,c=8,0.9030899869919436,4.799673068283223e-06,4.799673068283223e-06,500,tv,"TV(Q, Q_c)"
tikz-v2,weight_clipping_frontier,B,adaptation,4,6,adaptation,clipped_target_tv,0.5,13.0,c=13,1.1139433523068367,4.6271235419405866e-08,4.6271235419405866e-08,500,tv,"TV(Q, Q_c)"
tikz-v2,weight_clipping_frontier,B,adaptation,4,7,adaptation,clipped_target_tv,0.5,21.0,c=21,1.3222192947339193,1.9751046912996975e-10,1.9751046912996975e-10,500,tv,"TV(Q, Q_c)"
tikz-v2,weight_clipping_frontier,B,adaptation,4,8,adaptation,clipped_target_tv,0.5,34.0,c=34,1.5314789170422551,3.390172648171451e-13,3.390172648171451e-13,500,tv,"TV(Q, Q_c)"
tikz-v2,weight_clipping_frontier,B,adaptation,4,9,adaptation,clipped_target_tv,0.5,55.0,c=55,1.740362689494244,0.0,0.0,500,tv,"TV(Q, Q_c)"
tikz-v2,weight_clipping_frontier,B,adaptation,4,10,adaptation,clipped_target_tv,0.5,89.0,c=89,1.9493900066449128,0.0,0.0,500,tv,"TV(Q, Q_c)"
tikz-v2,weight_clipping_frontier,B,adaptation,4,11,adaptation,clipped_target_tv,0.5,inf,unclipped,2.299390006644913,0.0,0.0,500,tv,"TV(Q, Q_c)"
tikz-v2,weight_clipping_frontier,B,adaptation,4,12,adaptation,clipped_target_tv,1.5,1.0,c=1,0.0,0.3658383370216664,0.3658383370216664,500,tv,"TV(Q, Q_c)"
tikz-v2,weight_clipping_frontier,B,adaptation,4,13,adaptation,clipped_target_tv,1.5,1.5,c=1.5,0.1760912590556812,0.3182980735411166,0.3182980735411166,500,tv,"TV(Q, Q_c)"
tikz-v2,weight_clipping_frontier,B,adaptation,4,14,adaptation,clipped_target_tv,1.5,2.0,c=2,0.3010299956639812,0.2822119899746484,0.2822119899746484,500,tv,"TV(Q, Q_c)"
tikz-v2,weight_clipping_frontier,B,adaptation,4,15,adaptation,clipped_target_tv,1.5,3.0,c=3,0.4771212547196624,0.2299522803800793,0.2299522803800793,500,tv,"TV(Q, Q_c)"
tikz-v2,weight_clipping_frontier,B,adaptation,4,16,adaptation,clipped_target_tv,1.5,5.0,c=5,0.6989700043360189,0.1660660963746027,0.1660660963746027,500,tv,"TV(Q, Q_c)"
tikz-v2,weight_clipping_frontier,B,adaptation,4,17,adaptation,clipped_target_tv,1.5,8.0,c=8,0.9030899869919436,0.1140883353036043,0.1140883353036043,500,tv,"TV(Q, Q_c)"
tikz-v2,weight_clipping_frontier,B,adaptation,4,18,adaptation,clipped_target_tv,1.5,13.0,c=13,1.1139433523068367,0.0711165749615114,0.0711165749615114,500,tv,"TV(Q, Q_c)"
tikz-v2,weight_clipping_frontier,B,adaptation,4,19,adaptation,clipped_target_tv,1.5,21.0,c=21,1.3222192947339193,0.0407310186433951,0.0407310186433951,500,tv,"TV(Q, Q_c)"
